19:39:38.907401 ARP, Request who-has 192.168.6.134 (Broadcast) tell 192.168.6.131, length 46
19:39:38.907707 ARP, Reply 192.168.6.134 is-at 00:0c:29:f6:f6:c8 (oui Unknown), length 46
19:39:39.107895 IP 192.168.6.131.49109 > 192.168.6.2.domain: 57171+ PTR? 134.6.168.192.in-addr.arpa. (44)
19:39:39.149922 IP 192.168.6.2.domain > 192.168.6.131.49109: 57171 NXDomain 0/1/0 (103)
19:39:39.151047 IP 192.168.6.131.64374 > 192.168.6.134.ftp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.254322 IP 192.168.6.131.64375 > 192.168.6.134.microsoft-ds: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.254456 IP 192.168.6.134.microsoft-ds > 192.168.6.131.64375: Flags [S.], seq 453259016, ack 3226933022, win 64240, options [mss 1460], length 0
19:39:40.254532 IP 192.168.6.131.64375 > 192.168.6.134.ssh: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.254623 IP 192.168.6.134.ssh > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.254746 IP 192.168.6.131.64375 > 192.168.6.134.microsoft-ds: Flags [R], seq 3226933022, win 0, length 0
19:39:40.254886 IP 192.168.6.131.64375 > 192.168.6.134.auth: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.254988 IP 192.168.6.134.auth > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.255134 IP 192.168.6.131.64375 > 192.168.6.134.3389: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.255231 IP 192.168.6.134.3389 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.255360 IP 192.168.6.131.64375 > 192.168.6.134.1720: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.255461 IP 192.168.6.134.1720 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.255604 IP 192.168.6.131.64375 > 192.168.6.134.5900: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.255707 IP 192.168.6.134.5900 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.255892 IP 192.168.6.131.64375 > 192.168.6.134.8888: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.255944 IP 192.168.6.131.64374 > 192.168.6.134.telnet: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.255966 IP 192.168.6.131.64374 > 192.168.6.134.smtp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.256003 IP 192.168.6.134.8888 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.256100 IP 192.168.6.134.telnet > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.256129 IP 192.168.6.134.smtp > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.256452 IP 192.168.6.131.64374 > 192.168.6.134.1723: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.256508 IP 192.168.6.131.64374 > 192.168.6.134.https: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.256590 IP 192.168.6.134.1723 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.256633 IP 192.168.6.134.https > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.256771 IP 192.168.6.131.64374 > 192.168.6.134.1025: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.256816 IP 192.168.6.131.64374 > 192.168.6.134.submission: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.256905 IP 192.168.6.134.1025 > 192.168.6.131.64374: Flags [S.], seq 453311545, ack 3226867485, win 64240, options [mss 1460], length 0
19:39:40.256947 IP 192.168.6.134.submission > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.257048 IP 192.168.6.131.64374 > 192.168.6.134.1025: Flags [R], seq 3226867485, win 0, length 0
19:39:40.257157 IP 192.168.6.131.64374 > 192.168.6.134.sunrpc: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.257270 IP 192.168.6.131.64374 > 192.168.6.134.loc-srv: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.257319 IP 192.168.6.131.64374 > 192.168.6.134.smux: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.257353 IP 192.168.6.131.64374 > 192.168.6.134.domain: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.257373 IP 192.168.6.131.64374 > 192.168.6.134.http-alt: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.257392 IP 192.168.6.131.64374 > 192.168.6.134.imap2: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.257422 IP 192.168.6.134.sunrpc > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.257474 IP 192.168.6.134.loc-srv > 192.168.6.131.64374: Flags [S.], seq 453350633, ack 3226867485, win 64240, options [mss 1460], length 0
19:39:40.257509 IP 192.168.6.134.smux > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.257545 IP 192.168.6.134.domain > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.257578 IP 192.168.6.134.http-alt > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.257612 IP 192.168.6.134.imap2 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.257643 IP 192.168.6.131.64374 > 192.168.6.134.loc-srv: Flags [R], seq 3226867485, win 0, length 0
19:39:40.260167 IP 192.168.6.131.64374 > 192.168.6.134.http: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.260408 IP 192.168.6.131.64374 > 192.168.6.134.pop3: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.260728 IP 192.168.6.134.http > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.260813 IP 192.168.6.134.pop3 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.261341 IP 192.168.6.131.64374 > 192.168.6.134.rtsp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.261708 IP 192.168.6.134.rtsp > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.262093 IP 192.168.6.131.64374 > 192.168.6.134.netbios-ssn: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.262208 IP 192.168.6.131.64374 > 192.168.6.134.pop3s: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.262396 IP 192.168.6.134.netbios-ssn > 192.168.6.131.64374: Flags [S.], seq 453415907, ack 3226867485, win 64240, options [mss 1460], length 0
19:39:40.262484 IP 192.168.6.134.pop3s > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.262710 IP 192.168.6.131.64374 > 192.168.6.134.netbios-ssn: Flags [R], seq 3226867485, win 0, length 0
19:39:40.262925 IP 192.168.6.131.64374 > 192.168.6.134.5357: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.263277 IP 192.168.6.134.5357 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.263432 IP 192.168.6.131.64374 > 192.168.6.134.3986: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.263662 IP 192.168.6.134.3986 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.264347 IP 192.168.6.131.64374 > 192.168.6.134.aol: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.264723 IP 192.168.6.134.aol > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.265176 IP 192.168.6.131.64374 > 192.168.6.134.ipp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.265230 IP 192.168.6.131.64374 > 192.168.6.134.nntp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.265306 IP 192.168.6.134.ipp > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.265352 IP 192.168.6.134.nntp > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.265492 IP 192.168.6.131.64374 > 192.168.6.134.49153: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.265539 IP 192.168.6.131.64374 > 192.168.6.134.3128: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.265593 IP 192.168.6.134.49153 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.265645 IP 192.168.6.134.3128 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.265765 IP 192.168.6.131.64374 > 192.168.6.134.discard: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.265887 IP 192.168.6.131.64374 > 192.168.6.134.49156: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.265915 IP 192.168.6.134.discard > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.265980 IP 192.168.6.134.49156 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.266102 IP 192.168.6.131.64374 > 192.168.6.134.poppassd: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.266145 IP 192.168.6.131.64374 > 192.168.6.134.login: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.266188 IP 192.168.6.134.poppassd > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.266257 IP 192.168.6.134.login > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.266599 IP 192.168.6.131.64374 > 192.168.6.134.enbd-cstatd: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.266699 IP 192.168.6.134.enbd-cstatd > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.266861 IP 192.168.6.131.64374 > 192.168.6.134.printer: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.266957 IP 192.168.6.134.printer > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.267093 IP 192.168.6.131.64374 > 192.168.6.134.49157: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.267181 IP 192.168.6.134.49157 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.267290 IP 192.168.6.131.64374 > 192.168.6.134.nfs: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.267334 IP 192.168.6.131.64374 > 192.168.6.134.ldap: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.267375 IP 192.168.6.134.nfs > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.267421 IP 192.168.6.134.ldap > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.267488 IP 192.168.6.131.64374 > 192.168.6.134.svrloc: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.267579 IP 192.168.6.134.svrloc > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.267676 IP 192.168.6.131.64374 > 192.168.6.134.klogin: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.267718 IP 192.168.6.131.64374 > 192.168.6.134.8009: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.267757 IP 192.168.6.134.klogin > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.267804 IP 192.168.6.134.8009 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.267896 IP 192.168.6.131.64374 > 192.168.6.134.snpp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.267977 IP 192.168.6.134.snpp > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.268084 IP 192.168.6.131.64374 > 192.168.6.134.5000: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.268173 IP 192.168.6.134.5000 > 192.168.6.131.64374: Flags [S.], seq 453453024, ack 3226867485, win 64240, options [mss 1460], length 0
19:39:40.268349 IP 192.168.6.131.64374 > 192.168.6.134.5000: Flags [R], seq 3226867485, win 0, length 0
19:39:40.268757 IP 192.168.6.131.64374 > 192.168.6.134.shell: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.268854 IP 192.168.6.134.shell > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.269011 IP 192.168.6.131.64374 > 192.168.6.134.49154: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.269107 IP 192.168.6.134.49154 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.354631 IP 192.168.6.131.64374 > 192.168.6.134.32768: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.354808 IP 192.168.6.134.32768 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.354962 IP 192.168.6.131.64374 > 192.168.6.134.1026: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.355102 IP 192.168.6.134.1026 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.355287 IP 192.168.6.131.64374 > 192.168.6.134.9999: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.355461 IP 192.168.6.134.9999 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.355707 IP 192.168.6.131.64374 > 192.168.6.134.tproxy: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.355886 IP 192.168.6.134.tproxy > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.356247 IP 192.168.6.131.64374 > 192.168.6.134.1755: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.356357 IP 192.168.6.131.64374 > 192.168.6.134.ftps: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.356471 IP 192.168.6.134.1755 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.356508 IP 192.168.6.131.64374 > 192.168.6.134.1028: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.356540 IP 192.168.6.134.ftps > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.356611 IP 192.168.6.134.1028 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.356799 IP 192.168.6.131.64374 > 192.168.6.134.1029: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.356903 IP 192.168.6.134.1029 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.357011 IP 192.168.6.131.64374 > 192.168.6.134.3000: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.357106 IP 192.168.6.134.3000 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.357181 IP 192.168.6.131.64374 > 192.168.6.134.7070: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.357283 IP 192.168.6.134.7070 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.357346 IP 192.168.6.131.64374 > 192.168.6.134.5101: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.357409 IP 192.168.6.131.64374 > 192.168.6.134.49152: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.357440 IP 192.168.6.134.5101 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.357498 IP 192.168.6.134.49152 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.357580 IP 192.168.6.131.64374 > 192.168.6.134.time: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.357642 IP 192.168.6.131.64374 > 192.168.6.134.kerberos: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.357672 IP 192.168.6.134.time > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.357759 IP 192.168.6.134.kerberos > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.357850 IP 192.168.6.131.64374 > 192.168.6.134.646: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.357912 IP 192.168.6.131.64374 > 192.168.6.134.kshell: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.357942 IP 192.168.6.134.646 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.357999 IP 192.168.6.134.kshell > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.358091 IP 192.168.6.131.64374 > 192.168.6.134.9100: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.358152 IP 192.168.6.131.64374 > 192.168.6.134.2717: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.358193 IP 192.168.6.134.9100 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.358250 IP 192.168.6.134.2717 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.358335 IP 192.168.6.131.64374 > 192.168.6.134.radmin-port: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.358399 IP 192.168.6.131.64374 > 192.168.6.134.1027: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.358495 IP 192.168.6.134.radmin-port > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.358559 IP 192.168.6.134.1027 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.360500 IP 192.168.6.131.64374 > 192.168.6.134.x11-1: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.360814 IP 192.168.6.134.x11-1 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.361361 IP 192.168.6.131.64374 > 192.168.6.134.26: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.361538 IP 192.168.6.134.26 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.361835 IP 192.168.6.131.64374 > 192.168.6.134.cisco-sccp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.362140 IP 192.168.6.134.cisco-sccp > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.363264 IP 192.168.6.131.64374 > 192.168.6.134.1900: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.363822 IP 192.168.6.134.1900 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.368114 IP 192.168.6.131.64374 > 192.168.6.134.urd: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.368568 IP 192.168.6.134.urd > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.368906 IP 192.168.6.131.64374 > 192.168.6.134.1110: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.369249 IP 192.168.6.134.1110 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.369549 IP 192.168.6.131.64374 > 192.168.6.134.144: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.369980 IP 192.168.6.134.144 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.370095 IP 192.168.6.131.64374 > 192.168.6.134.postgresql: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.370236 IP 192.168.6.131.64374 > 192.168.6.134.bgp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.370508 IP 192.168.6.134.postgresql > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.370719 IP 192.168.6.134.bgp > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.370944 IP 192.168.6.131.64374 > 192.168.6.134.iprop: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.371070 IP 192.168.6.134.iprop > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.371160 IP 192.168.6.131.64374 > 192.168.6.134.8443: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.371272 IP 192.168.6.134.8443 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.371347 IP 192.168.6.131.64374 > 192.168.6.134.afpovertcp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.371442 IP 192.168.6.134.afpovertcp > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.371603 IP 192.168.6.131.64374 > 192.168.6.134.daytime: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.371726 IP 192.168.6.134.daytime > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.455131 IP 192.168.6.131.64375 > 192.168.6.134.1026: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.455210 IP 192.168.6.131.64375 > 192.168.6.134.32768: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.455316 IP 192.168.6.134.1026 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.455360 IP 192.168.6.134.32768 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.457687 IP 192.168.6.131.64375 > 192.168.6.134.time: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.457770 IP 192.168.6.131.64375 > 192.168.6.134.49152: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.457803 IP 192.168.6.131.64375 > 192.168.6.134.5101: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.457835 IP 192.168.6.131.64375 > 192.168.6.134.7070: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.457871 IP 192.168.6.131.64375 > 192.168.6.134.3000: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.457905 IP 192.168.6.131.64375 > 192.168.6.134.1029: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.457947 IP 192.168.6.131.64375 > 192.168.6.134.1028: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.457979 IP 192.168.6.131.64375 > 192.168.6.134.ftps: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.458000 IP 192.168.6.131.64375 > 192.168.6.134.1755: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
